grid_id,node_id,distance,grid_lng,grid_lat,node_lng,node_lat
4912,547283,0.00020062514797053208,121.313575,31.316307,121.3137149,31.3161632
4913,547193,0.001290192082602307,121.327325,31.316307,121.326799,31.3174851
4914,336092,0.0007846995667062966,121.341075,31.316307,121.341698,31.3167841
4915,177008,0.0008667104764492727,121.354825,31.316307,121.3553934,31.3156527
4916,464057,0.0011113046791972909,121.368575,31.316307,121.3680845,31.3153098
4917,555992,0.00025739327886347243,121.382325,31.316307,121.3825537,31.3164251
4918,361927,0.000399376075901013,121.396075,31.316307,121.3961444,31.3167003
4919,23474,0.0012527647225223757,121.409825,31.316307,121.4108754,31.3169897
4920,95761,0.0004019886814300814,121.423575,31.316307,121.4232817,31.3165819
4921,375519,0.0005072252852448062,121.437325,31.316307,121.4377907,31.316106
4922,383597,0.00021084461102946584,121.451075,31.316307,121.4509177,31.3164474
4923,584061,8.844959015740272e-05,121.464825,31.316307,121.4648623,31.3162268
4924,557765,0.001255610672139846,121.478575,31.316307,121.47977,31.3166924
4925,374127,0.000973420248414969,121.492325,31.316307,121.4932983,31.3162917
4926,556285,0.00026947625126919517,121.506075,31.316307,121.5059509,31.3160678
4927,18435,7.17509581826169e-05,121.519825,31.316307,121.5198956,31.3163198
4928,10990,0.0008262136830105734,121.533575,31.316307,121.5342726,31.3167497
4929,580397,0.0005608384170185633,121.547325,31.316307,121.5472667,31.3168648
4930,13271,0.001278584205275324,121.561075,31.316307,121.5621384,31.3155971
4931,27943,0.001013669596074983,121.574825,31.316307,121.5738628,31.3166259
4932,351848,0.000663812661827255,121.588575,31.316307,121.5885791,31.3169708
4933,13341,0.0006649077003621156,121.602325,31.316307,121.6022721,31.3169698
4934,13360,0.0013146492840240655,121.616075,31.316307,121.6148807,31.3157575
4935,131548,0.00023183806848461622,121.629825,31.316307,121.629599,31.3162553
4936,40736,0.0014879712698819046,121.643575,31.316307,121.6422235,31.3156845
4937,169548,0.00010317218617333979,121.657325,31.316307,121.6573615,31.3164035
4938,360688,0.001011602540524382,121.671075,31.316307,121.6700871,31.3160893
4939,169454,0.0008315333847787185,121.684825,31.316307,121.6843126,31.3156521
4940,169431,0.009729917299243772,121.698575,31.316307,121.6928251,31.3084578
4941,321801,0.01843699566442466,121.712325,31.316307,121.7016282,31.3012903
4942,321796,0.02699438493946282,121.726075,31.316307,121.7091301,31.2952935
4943,247583,0.019081620346822585,121.739825,31.316307,121.7530095,31.3301011
4944,258878,0.00893156302390722,121.753575,31.316307,121.7600664,31.3224417
4945,247574,0.002244608841202417,121.767325,31.316307,121.7670208,31.3185309
4946,247517,0.0021000361544582543,121.781075,31.316307,121.7793622,31.3175221
4947,247512,0.011989492433383368,121.794825,31.316307,121.7831595,31.3190754
4948,109423,0.005832920384336451,121.808575,31.316307,121.8121725,31.3208984
4949,484193,0.0013995368662482576,121.822325,31.316307,121.823308,31.3173032
4950,128474,0.0017874423207597172,121.836075,31.316307,121.8378624,31.3163193
4951,261598,0.00043657503365014157,121.849825,31.316307,121.850261,31.3162846
4952,261284,0.0010210563990310957,121.863575,31.316307,121.8641549,31.3154666
4953,396953,0.003677050339607482,121.877325,31.316307,121.8742046,31.3182522
4954,396937,0.011644382754358086,121.891075,31.316307,121.8980432,31.3069777
4955,213855,0.007339371862089826,121.904825,31.316307,121.9030492,31.3234283
4956,213855,0.017081082498782322,121.918575,31.316307,121.9030492,31.3234283
4957,213856,0.007520407951691003,121.932325,31.316307,121.9397676,31.317386
4958,213856,0.006399026157155952,121.946075,31.316307,121.9397676,31.317386
4959,396002,0.016697916179573294,121.959825,31.316307,121.9543095,31.3320677
4960,236097,0.18260535698924757,120.873575,31.326328,120.9227304,31.1504631
4961,224341,0.17804524031519722,120.887325,31.326328,121.0555637,31.2680541
4962,224341,0.16511391779282597,120.901075,31.326328,121.0555637,31.2680541
4963,224341,0.15232606178490915,120.914825,31.326328,121.0555637,31.2680541
4964,224341,0.13972106981017404,120.928575,31.326328,121.0555637,31.2680541
4965,224341,0.12735325123018723,120.942325,31.326328,121.0555637,31.2680541
4966,224341,0.11529895424026596,120.956075,31.326328,121.0555637,31.2680541
4967,224341,0.10366760390256345,120.969825,31.326328,121.0555637,31.2680541
4968,224341,0.09261868250465849,120.983575,31.326328,121.0555637,31.2680541
4969,224341,0.0823868533134915,120.997325,31.326328,121.0555637,31.2680541
4970,224341,0.07331501789469125,121.011075,31.326328,121.0555637,31.2680541
4971,190601,0.06522290914310673,121.024825,31.326328,121.0794072,31.2906235
4972,190599,0.054192962052285736,121.038575,31.326328,121.079831,31.291188
4973,190597,0.04456338029481068,121.052325,31.326328,121.0803723,31.2916979
4974,190596,0.037380687721869754,121.066075,31.326328,121.0806834,31.29192
4975,195420,0.03166051725619759,121.079825,31.326328,121.1004837,31.3503198
4976,195477,0.022006911928977538,121.093575,31.326328,121.1148791,31.3318452
4977,195477,0.009354353139041375,121.107325,31.326328,121.1148791,31.3318452
4978,195466,0.0044143599683315726,121.121075,31.326328,121.1199447,31.3305952
4979,228528,0.00010869452607811807,121.134825,31.326328,121.1349079,31.3262577
4980,185141,0.0007987700169642662,121.148575,31.326328,121.1493515,31.3261407
4981,295020,0.001356049383316325,121.162325,31.326328,121.1634922,31.3270183
4982,181261,0.0006762145887191119,121.176075,31.326328,121.1754131,31.3261896
4983,251037,0.0007716518385881695,121.189825,31.326328,121.190013,31.3270764
4984,251045,0.0006037446894148572,121.203575,31.326328,121.2039497,31.3268014
4985,490355,0.0009278449493355801,121.217325,31.326328,121.216573,31.3257845
4986,181416,0.00020519047248660575,121.231075,31.326328,121.2312098,31.3261733
4987,68230,0.0007710512888146032,121.244825,31.326328,121.2455445,31.3266052
4988,7907,0.00021638488856576225,121.258575,31.326328,121.2585639,31.3265441
4989,93519,0.002525086400503845,121.272325,31.326328,121.2724457,31.3238058
4990,93508,0.0005145345275096986,121.286075,31.326328,121.2860123,31.3268387
4991,152793,0.0009587351719825025,121.299825,31.326328,121.2991882,31.3256113
4992,184128,0.001600192000981571,121.313575,31.326328,121.3137038,31.324733
4993,183482,0.0025197345891912614,121.327325,31.326328,121.3298234,31.3266552
4994,566582,0.0006073629886598528,121.341075,31.326328,121.3415548,31.3259556
4995,211778,0.0012524770736415097,121.354825,31.326328,121.3541909,31.3274081
4996,447096,0.0005700275431910635,121.368575,31.326328,121.3686738,31.3268894
4997,495591,6.448945650342172e-05,121.382325,31.326328,121.3823465,31.3263888
4998,531481,0.0007762290447961498,121.396075,31.326328,121.3953158,31.3261663
4999,23441,0.002506880998369981,121.409825,31.326328,121.4074497,31.3271295
5000,197439,0.00023293969176661105,121.423575,31.326328,121.4235223,31.3265549
5001,36513,0.0014462892172729886,121.437325,31.326328,121.4378605,31.3276715
5002,259869,0.0003743530152130399,121.451075,31.326328,121.4509553,31.3266827
5003,510846,0.0012993129338223065,121.464825,31.326328,121.4658737,31.3270951
5004,35087,0.00014243173803494974,121.478575,31.326328,121.4786916,31.3262462
5005,235470,0.0007294907059069889,121.492325,31.326328,121.492886,31.3258617
5006,74479,0.0008314671490726687,121.506075,31.326328,121.5052579,31.3264819
5007,554866,0.00046262012494095213,121.519825,31.326328,121.5201953,31.3260507
5008,36644,0.0007685529910209387,121.533575,31.326328,121.5341257,31.3268641
5009,359069,0.0008897552978214702,121.547325,31.326328,121.547461,31.3272073
5010,13285,0.0025864740555479456,121.561075,31.326328,121.563516,31.3254728
5011,129285,0.00012997792119236428,121.574825,31.326328,121.5749549,31.3263325
5012,98120,0.0005556727094290125,121.588575,31.326328,121.588121,31.3266484
5013,487364,0.0011039257810228841,121.602325,31.326328,121.6026288,31.3252667
5014,19963,0.001392435542491225,121.616075,31.326328,121.6157965,31.3276923
5015,100860,0.0004398896679854798,121.629825,31.326328,121.6301704,31.3260556
5016,40096,0.0005145710932427004,121.643575,31.326328,121.6436396,31.3268385
5017,169686,0.0013892017887988035,121.657325,31.326328,121.6579931,31.32511
5018,360752,0.001421965249221193,121.671075,31.326328,121.6716151,31.3276434
5019,110460,0.0008418306955699936,121.684825,31.326328,121.6856436,31.3265244
5020,110474,0.011824622712383458,121.698575,31.326328,121.687434,31.3302903
5021,110476,0.024714563051177092,121.712325,31.326328,121.688797,31.3338939
5022,247593,0.023841732268028375,121.726075,31.326328,121.7480795,31.3355057
5023,247593,0.01234370072304435,121.739825,31.326328,121.7480795,31.3355057
5024,258892,0.002488921768554364,121.753575,31.326328,121.7557404,31.3275551
5025,259944,0.0016479156349785843,121.767325,31.326328,121.7687705,31.3271193
5026,247617,0.0023380466077486907,121.781075,31.326328,121.7833205,31.3256767
5027,246837,0.006921809665836287,121.794825,31.326328,121.7879746,31.3273197
5028,262826,0.00289202469041802,121.808575,31.326328,121.809175,31.3291571
5029,128335,0.0015597551410411698,121.822325,31.326328,121.8214987,31.3250051
5030,262241,0.0005593864585419166,121.836075,31.326328,121.836225,31.3257891
5031,128383,0.001551111633631626,121.849825,31.326328,121.8485943,31.3253839
5032,128228,0.0012923285534320252,121.863575,31.326328,121.8648153,31.326691
5033,361472,0.0032253034167314776,121.877325,31.326328,121.8784592,31.3293473
5034,396954,0.00868625946883975,121.891075,31.326328,121.883921,31.3312546
5035,366221,0.003310086506427663,121.904825,31.326328,121.9025212,31.3239512
5036,213855,0.01579426243071165,121.918575,31.326328,121.9030492,31.3234283
5037,213856,0.011634073180098002,121.932325,31.326328,121.9397676,31.317386
5038,395998,0.008721536315354396,121.946075,31.326328,121.9524237,31.3323079
5039,396003,0.007938967744610084,121.959825,31.326328,121.9543724,31.3320983
5040,236097,0.1922753784756902,120.873575,31.336349,120.9227304,31.1504631
5041,224341,0.18157217172159418,120.887325,31.336349,121.0555637,31.2680541
5042,224341,0.16891107658675275,120.901075,31.336349,121.0555637,31.2680541
5043,224341,0.15643393188084137,120.914825,31.336349,121.0555637,31.2680541
5044,224341,0.14418849917278176,120.928575,31.336349,121.0555637,31.2680541
5045,224341,0.13223916418254822,120.942325,31.336349,121.0555637,31.2680541
5046,224341,0.12067391927711099,120.956075,31.336349,121.0555637,31.2680541
5047,224341,0.10961440618686281,120.969825,31.336349,121.0555637,31.2680541
5048,224341,0.09922986593611063,120.983575,31.336349,121.0555637,31.2680541
5049,224341,0.0897548859043257,120.997325,31.336349,121.0555637,31.2680541
5050,224341,0.08150728675215889,121.011075,31.336349,121.0555637,31.2680541
5051,190599,0.07117004957845052,121.024825,31.336349,121.079831,31.291188
5052,190598,0.06115754383443347,121.038575,31.336349,121.0801081,31.2914575
5053,195420,0.05014422836508962,121.052325,31.336349,121.1004837,31.3503198
5054,195420,0.03713679965115584,121.066075,31.336349,121.1004837,31.3503198
5055,195420,0.02493922890407827,121.079825,31.336349,121.1004837,31.3503198
5056,195420,0.015585678949921673,121.093575,31.336349,121.1004837,31.3503198
